,store,product,price,price_no_discount,price_currency,installments,installment_payment,installment_currency,url,timestamp
0,Divino Fenicio,SILLÓN RECLINABLE - 2 CUERPOS CUERO-100-NATURAL GRIS RAUL,7840.0,7840.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/sillon-reclinable-2-cuerpos-cuero-100-natural-gris-raul_241173_001,2022-04-29 15:06:30
1,Divino Fenicio,TV LG - 86-PULGADAS 86UN8000PSB,6990.0,6990.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/tv-lg-86-pulgadas-86un8000psb_256235_001,2022-04-29 15:06:30
2,Divino Fenicio,SOFÁ - ESQUINERO NATURAL/BEIGE TELA KARTUN,6355.0,6355.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/sofa-esquinero-natural-beige-tela-kartun_250173_001,2022-04-29 15:06:30
3,Divino Fenicio,SILLÓN - 3 CUERPOS CUERO-100-NATURAL MARRON NANDA TAUPE,5758.0,5758.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/sillon-3-cuerpos-cuero-100-natural-marron-nanda-taupe_250174_001,2022-04-29 15:06:30
4,Divino Fenicio,BUTACA - 1 CUERPO CUERO-100-NATURAL BLANCO RE VIVE,5725.0,5725.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/butaca-1-cuerpo-cuero-100-natural-blanco-re-vive_241171_001,2022-04-29 15:06:30
5,Divino Fenicio,SILLÓN - MÁS DE 4 CUERPOS CUERO-100-NATURAL ENTUSIASMO,5655.0,5655.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/sillon-mas-de-4-cuerpos-cuero-100-natural-entusiasmo_241172_001,2022-04-29 15:06:30
6,Divino Fenicio,TV LG - 65-PULGADAS OLED65A1PSA,4990.0,4990.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/tv-lg-65-pulgadas-oled65a1psa_256239_001,2022-04-29 15:06:30
7,Divino Fenicio,SOMMIER - CAMA ARTICULADA CON COLCHÓN LÁTEX,4956.5,9913.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/sommier-cama-articulada-con-colchon-latex_CMB-A01-244821-CANT01-cmb2_-eq001-002,2022-04-29 15:06:30
8,Divino Fenicio,SILLÓN - 2 CUERPOS CUERO-100-NATURAL NATURAL-BEIGE FORZA BEIGE,4522.0,4522.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/sillon-2-cuerpos-cuero-100-natural-natural-beige-forza-beige_241174_001,2022-04-29 15:06:30
9,Divino Fenicio,SILLÓN - 3 CUERPOS CUERO-100-NATURAL MARRON U249 CAFE,4007.4,6679.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/sillon-3-cuerpos-cuero-100-natural-marron-u249-cafe_244606_-a3c001,2022-04-29 15:06:30
10,Divino Fenicio,SILLÓN ESQUINERO - MÁS DE 4 CUERPOS CUERO-100-NATURAL MARRON U264,3904.2,6507.0,U$S,,0.0,,https://www.divino.com.uy/catalogo/sillon-esquinero-mas-de-4-cuerpos-cuero-100-natural-marron-u264_244605_003,2022-04-29 15:06:30
